label,peak_cpu_percent,peak_ram_mb,duration_s
turn on kitchen,41.6,87.6,19.9
unlock the front door,77.0,89.0,9.8
turn off kitchen turn on bedroom lock front door,46.2,90.0,20.5
turn on the tv and kitchen light,53.9,89.9,13.1
turn off all the lights,30.8,89.6,13.1
turn on the tv and kitchen light,77.0,90.0,14.5
turn on the tv,46.2,87.0,18.6
turn on the living room,30.6,88.7,11.2
turn off the tv,46.2,88.9,11.4
change that,53.9,89.9,9.6
change the thermostat into 50°,46.2,92.9,11.7
turn on the tv and kitchen light,58.5,88.1,29.8
turn off the tv and kitchen light,46.2,89.5,11.2
turn on,30.8,88.5,14.7
turn off the kitchen and bedroom,61.6,89.7,15.0
turn on the kitchen and tv,38.5,89.9,12.0
turn off the lights and tv,38.5,88.8,11.7
change the the,30.6,90.2,10.2
change the thermostat into 30,58.2,90.5,15.9
set the thermostat into 28,46.2,90.7,15.8
turn on all the,38.5,87.2,26.1
turn on tv,58.5,87.9,8.2
part of entertainment,84.7,88.1,8.0
turn off entertainment,58.5,88.6,11.7
turn on the tv and kitchen,23.1,90.4,16.7
turn off all the lights,38.5,90.1,11.2
turn on bedroom kitchen living,23.1,91.2,15.2
turn off the lights and tv,61.6,90.4,11.6
on entertainment,41.8,91.0,10.8
entertainment,69.3,89.0,8.0
turn on the tv,30.8,88.2,8.4
turn off entertainment,33.2,88.7,11.2
turn on entertainment,38.5,88.7,9.0
turn on the lights,46.2,87.4,10.2
turn off bedroom light,69.3,89.7,14.0
turn off living room,38.5,89.8,9.4
kitchen turn on bedroom and unlock the front door,61.3,91.4,17.9
turn off,38.5,89.4,11.6
turn on the kitchen and lock the front door,53.9,90.8,15.3
off kitchen turn on bedroom and,58.5,89.7,12.0
bedroom and turn on kitchen,66.8,90.5,11.2
turn off bedroom,41.6,90.3,10.2
turn off kitchen turn on bedroom lock unlock the front door,38.5,91.5,23.9
thank you,38.5,90.4,10.4
change the thermostat,66.8,88.9,18.6
thermostat 25°,38.5,90.7,13.0
thermostat,41.6,90.7,10.4
set to 31°,30.8,91.1,13.8
set the thermostat into 36,53.9,92.7,19.5
hello,53.6,90.0,11.0
turn on the kitchen,38.5,90.7,11.0
turn off the kitchen,46.2,90.7,9.2
turn on the tv and kitchen,66.5,91.1,12.6
turn off the lights and tv,66.5,90.1,13.6
hello,46.2,89.1,17.8
unlock the,38.5,89.4,17.5
turn on the entertainment,66.5,89.6,10.4
turn off the entertainment,61.6,89.3,18.8
turn on the lights,61.6,87.9,40.0
turn off the lights,115.5,88.8,14.7
the lights in tv,69.3,91.1,17.3
turn on entertainment,92.4,89.2,15.9
entertainment,100.3,91.2,16.1
turn off tv,77.0,89.2,10.2
turn on the,77.0,89.9,23.1
turn off the lights,69.3,89.6,12.7
turn on kitchen turn off tv,77.0,90.7,13.3
turn on bedroom,92.4,90.6,14.6
the thermostat into,84.7,91.8,17.3
set the thermostat to,84.7,91.4,13.6
240 degrees,84.3,93.0,15.4
set to 27,77.0,91.7,11.9
set,84.7,92.7,16.3
turn on the,84.7,91.4,14.3
turn off the kitchen and tv,77.0,91.1,12.8
unlock the front door,69.3,90.7,17.7
set the thermostat to 5°,92.4,92.9,17.5
set the thermostat to 35°,76.6,94.7,15.1
turn off living room light,84.7,91.1,12.6
turn on kitchen lights,61.6,91.6,10.0
turn off bedroom lights and turn on,53.9,91.3,13.4
turn off bedroom lights and turn on tv,84.7,92.9,15.8
40 degrees and lock the front door,84.7,92.9,19.1
hello,69.3,90.9,12.0
entertainment,84.7,93.0,17.8
turn off entertainment,84.7,92.2,15.7
entertain,99.7,93.4,21.1
hello,83.6,87.4,13.9
turn on the,108.6,88.3,10.5
on the tv,77.0,88.1,8.4
turn off the tv,69.3,88.2,11.8
turn on the tv and turn off the lights,99.7,89.0,14.2
turn off the tv and unlock the front door,92.4,90.2,15.1
turn on entertainment,100.1,88.9,13.3
turn off entertainment,77.0,89.4,15.4
hello,92.4,88.1,26.9
turn on,76.6,89.6,7.6
turn on the entertainment,69.3,89.6,8.4
turn on the tv,84.7,89.7,15.1
turn on tv,77.0,89.7,16.5
turn on the,68.9,89.7,7.8
turn on the lights,100.1,89.6,11.8
turn off bedroom light,77.0,89.9,11.1
unlock the front door,61.3,89.0,10.0
turn off living room and lock the front door,84.7,91.5,19.5
turn on kitchen and bedroom,115.5,90.6,15.1
unlock the front door and turn off kitchen,84.7,90.5,18.3
on living room and turn off bedroom,84.7,90.1,14.9
living room and lock the front door,83.1,91.8,13.2
turn on,92.4,91.2,11.2
tv,69.3,90.4,11.8
off tv,99.6,90.4,8.4
turn off tv,107.8,89.7,9.4
on tv,84.7,89.6,8.6
off tv,77.0,89.4,8.6
turn on tv,84.7,89.5,13.0
turn off tv,77.0,83.3,10.0
turn off,84.7,84.0,7.8
tv and kitchen light,92.4,84.2,11.8
turn on tv,77.0,83.5,21.3
turn on tv,92.4,82.9,13.9
turn off kitchen turn off tv,107.8,84.5,14.5
tv,100.1,82.8,19.1
off living room,99.6,84.9,14.3
on kitchen light,92.4,83.8,12.6
turn off entertainment,91.4,85.3,12.0
turn off tv,92.4,83.3,9.6
turn off kitchen and bedroom,84.7,84.5,11.4
turn on kitchen turn off living room,77.0,84.8,14.2
turn off kitchen unlock the front door turn,92.4,85.5,15.2
turn on tv lock the front door turn on living light,84.7,87.2,25.3
yes,30.8,70.9,34.8
hi,77.0,69.1,9.2
hello,61.6,68.9,12.6
turn on the tv,91.9,88.0,30.0
turn on living light,76.6,89.1,16.9
turn on kitchen and bedroom,84.7,90.0,12.3
turn on tv,91.9,89.0,13.9
turn off kitchen and tv,92.4,90.3,12.9
off living room turn on tv,77.0,90.5,14.9
turn off tv turn on,77.0,89.8,11.9
set the thermostat to 35°,92.4,92.7,20.6
turn off living room and tv,83.6,91.3,15.8
turn off the lights,100.1,92.0,15.0
write the thermostat to 20 degrees,91.9,91.6,11.5
thermostat to 35°,69.3,91.6,11.5
the thermostat to 20°,77.0,91.7,12.3
thermostat to 40,84.7,93.3,15.4
unlock the front door and turn on living room,53.9,92.9,19.9
tv and bedroom,92.4,92.6,14.0
hello,92.4,91.8,8.4
no,84.7,92.7,10.8
where,100.1,92.7,10.2
turn off living room and lock the front door,91.9,92.1,18.3
set the thermostat to 29,100.1,93.1,12.0
turn off the tv,77.0,91.7,9.8
on the tv,84.7,91.6,9.0
turn on the lights,77.0,92.4,16.1
turn off the lights and,84.7,91.6,10.6
the thermostat to 7,100.3,91.9,10.6
turn off kitchen and turn on,83.1,92.6,10.4
turn off bedroom,92.4,92.0,14.9
turn off entertainment,99.6,78.5,10.6
the tv,92.4,79.0,22.3
turn off the tv,77.0,76.9,10.2
turn off the living room light and turn on the tv,91.9,77.4,16.3
the front door and turn on bedroom,92.4,78.3,14.9
unlock the front door and turn off bedroom light,92.4,78.0,16.7
turn off the kitchen turn off the tv and lock the front door,61.3,78.3,21.3
hello,115.5,76.9,6.2
hey toto,107.8,77.3,13.4
good morning,74.8,77.3,6.4
the lights and unlock the front door and turn on,99.6,78.5,10.2
turn on the,91.4,78.5,7.2
turn on the lights,92.4,78.8,13.4
turn off living room and turn on,158.8,77.6,10.4
living room light and turn on the tv,84.7,78.4,14.3
living room,46.2,78.1,11.9
turn off the tv and unlock the front door,84.3,77.8,18.2
turn off living room and turn on the tv,99.6,77.7,18.7
off the lights,84.7,70.8,17.3
change the thermostat to 13°,77.0,69.7,16.1
hello,100.1,87.7,12.3
turn on the,92.4,88.4,10.6
turn on living room,77.0,88.3,13.8
kitchen,99.6,88.2,12.8
turn on bedroom light,77.0,88.5,14.0
tv,92.4,87.9,18.5
turn off living room and unlock the front door,91.9,89.5,22.5
turn on the living room and turn off the tv,91.9,89.2,20.1
the thermostat to 25°,92.4,89.6,17.1
the lights and lock the front door,99.6,91.0,20.3
off the lights,84.7,90.4,14.6
change the thermostat to 48 degrees,92.4,92.1,24.3
turn off all the lights,84.7,90.9,23.7
change the thermostat to 30°,84.7,90.7,15.6
change the thermostat to,107.2,90.3,11.7
change the thermostat to 6 degrees,84.7,92.9,19.9
set the thermostat to,83.6,90.6,11.8
change the thermostat to 50°,91.9,92.6,28.7
change the,91.9,91.4,9.2
the thermostat to 20,83.6,91.9,12.7
turn off kitchen light and bedroom,83.6,91.9,16.9
tv and turn off living room light,92.4,92.5,24.2
set,92.4,91.8,11.6
thermostat to 5,77.0,93.3,18.5
statue 99°,100.1,92.0,10.4
thermostat,84.7,94.3,21.9
turn off the lights,53.6,92.0,20.7
set the thermostat to 76°,91.9,94.8,24.9
change,30.8,88.6,11.1
change the thermostat to 85°,53.9,91.3,30.1
turn on the lights,33.2,90.3,15.1
turn on tv,30.8,88.9,15.5
turn off television,61.6,88.9,10.2
turn on television and turn off bedroom light,69.3,90.4,13.8
the thermostat to 35°,38.3,90.6,11.7
change the thermostat to,23.1,90.1,8.6
the thermostat to six degrees,61.6,92.2,14.7
unlock the front door,46.2,89.8,9.1
lock the front door,84.7,89.8,9.4
unlock the door,38.5,89.8,8.0
turn off tv and,66.8,90.2,9.0
turn off the tv and lights,61.6,91.5,15.7
thermostat,46.2,91.8,14.1
thermostat,53.9,91.9,9.8
the thermostat,30.8,92.0,11.5
lock the front door and turn on the tv,38.5,91.6,14.7
turn on living room and kitchen,53.9,91.7,16.1
where what,75.2,91.6,6.6
hello,38.5,91.9,8.4
turn off television and unlock the do,61.6,92.7,15.1
the thermostat to 99 degrees,61.6,92.8,22.8
lock the front door and turn off the lights,61.6,92.8,21.5
turn on the living,46.2,90.5,12.3
turn off the living room,41.6,91.5,9.6
turn on television and living room,53.9,92.2,11.2
turn on kitchen light and turn off living room,61.3,92.3,13.9
turn on living room and bedroom,38.3,92.2,13.3
turn off living room and kitchen light,49.9,92.0,15.5
change the thermostat to 18,53.9,92.4,12.2
all the lights,61.6,92.2,12.8
the lights and unlock the door,30.6,93.5,17.6
turn off the lights and turn off tv,46.2,93.0,16.9
thermostat,68.9,93.3,9.4
hello,53.9,88.0,12.6
turn on television,74.8,88.1,8.4
hello,46.0,87.8,6.0
turn on the tv and kitchen,38.5,89.5,13.8
turn on the bedroom light and set the thermostat to 18,46.2,90.7,17.8
turn off the lights and unlock the front door,66.8,91.5,18.7
increase temperature to,46.2,89.8,9.0
increase temperature to,53.9,89.9,8.0
increase temp to 20°,38.5,90.2,7.6
increase thermostat to 20°,69.3,90.8,13.0
turn on tele,99.7,88.8,7.4
turn on the tv,46.2,88.4,26.4
on the lights,38.5,90.2,14.6
set the thermostat to 28,38.5,90.1,11.0
turn off living room,30.8,89.2,9.6
unlock the door and turn off,49.9,89.6,8.2
unlock the door and turn off,61.6,89.6,8.6
unlock the door and turn off the tv,69.3,90.2,12.0
thermostat,30.8,89.9,11.4
thermostat,77.0,90.2,7.2
change the thermostat to 9°,53.9,90.4,11.8
change the,46.0,90.2,9.4
set the thermostat to 100,53.9,92.4,16.6
turn off kitchen light turn on,46.2,91.3,8.6
off kitchen turn on tv and lock the door,83.6,91.2,15.7
thermostat,66.5,90.4,12.2
increase temperature to 9°,74.8,91.4,13.4
increase temperature to 28,49.9,91.0,16.6
